bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Multi,417,UOT_KR,0.4138246965452848,0.3587962962962963,0.494171626984127,0.0,0.0,0.0,420,17.5
Multi,417,RAW_UOT_PLAN,0.09209536378654026,0.08449074074074074,0.10761408730158728,0.0,0.0,0.0,306,12.75
Multi,417,CONDITIONAL_UOT,0.4082691409897292,0.3541666666666667,0.4872271825396825,0.0,0.0,0.0,429,17.875
Multi,417,SUPPORT_PLUS_K,0.4138246965452848,0.3587962962962963,0.494171626984127,0.0,0.0,0.0,420,17.5
Multi,417,HUNGARIAN_1TO1,0.38448310948310943,0.3928571428571428,0.37822420634920634,0.0,0.0,0.0,290,12.083333333333334
Multi,417,THRESHOLD_MM,0.029761904761904757,0.01736111111111111,0.10416666666666667,0.0,0.0,0.0,240,10.0
Multi,417,DUAL_SOFTMAX,0.2397931929181929,0.9166666666666666,0.1382688492063492,0.0,0.0,0.0,47,1.9583333333333333
Multi,418,UOT_KR,0.38448295985060693,0.3356481481481481,0.45746527777777773,0.0,0.0,0.0,414,17.25
Multi,418,RAW_UOT_PLAN,0.10418222844693432,0.0925925925925926,0.12161044973544972,0.0,0.0,0.0,354,14.75
Multi,418,CONDITIONAL_UOT,0.36538573762838467,0.3194444444444444,0.43415178571428575,0.0,0.0,0.0,408,17.0
Multi,418,SUPPORT_PLUS_K,0.38448295985060693,0.3356481481481481,0.45746527777777773,0.0,0.0,0.0,414,17.25
Multi,418,HUNGARIAN_1TO1,0.33744658119658116,0.3462301587301588,0.3315558862433862,0.0,0.0,0.0,289,12.041666666666666
Multi,418,THRESHOLD_MM,0.023809523809523808,0.013888888888888888,0.08333333333333333,0.0,0.0,0.0,162,6.75
Multi,418,DUAL_SOFTMAX,0.2147575803825804,0.8333333333333334,0.12371858465608465,0.0,0.0,0.0,46,1.9166666666666667
Multi,419,UOT_KR,0.3757045800776451,0.3333333333333333,0.4407783189033189,0.0,0.0,0.0,387,16.125
Multi,419,RAW_UOT_PLAN,0.1012021219306436,0.09027777777777779,0.11790824915824916,0.0,0.0,0.0,351,14.625
Multi,419,CONDITIONAL_UOT,0.39256044523072386,0.34722222222222215,0.4617852633477633,0.0,0.0,0.0,423,17.625
Multi,419,SUPPORT_PLUS_K,0.3619396991252642,0.3194444444444444,0.4266414141414141,0.0,0.0,0.0,369,15.375
Multi,419,HUNGARIAN_1TO1,0.3759064362924656,0.38839285714285715,0.3677842412217412,0.0,0.0,0.0,289,12.041666666666666
Multi,419,THRESHOLD_MM,0.029761904761904757,0.01736111111111111,0.10416666666666667,0.0,0.0,0.0,210,8.75
Multi,419,DUAL_SOFTMAX,0.23597421097421098,0.9375,0.13564138407888407,0.0,0.0,0.0,47,1.9583333333333333
Multi,420,UOT_KR,0.41098564425770306,0.35648148148148145,0.49375450937950927,0.0,0.0,0.0,378,15.75
Multi,420,RAW_UOT_PLAN,0.08805390211640211,0.07638888888888888,0.10589526214526213,0.0,0.0,0.0,321,13.375
Multi,420,CONDITIONAL_UOT,0.4566453664799253,0.3958333333333333,0.5487238455988456,0.0,0.0,0.0,432,18.0
Multi,420,SUPPORT_PLUS_K,0.41098564425770306,0.35648148148148145,0.49375450937950927,0.0,0.0,0.0,378,15.75
Multi,420,HUNGARIAN_1TO1,0.4759477722713017,0.4861111111111111,0.46938882876382876,0.0,0.0,0.0,288,12.0
Multi,420,THRESHOLD_MM,0.011904761904761904,0.006944444444444444,0.041666666666666664,0.0,0.0,0.0,84,3.5
Multi,420,DUAL_SOFTMAX,0.25713776963776963,0.9791666666666666,0.14854647667147666,0.0,0.0,0.0,48,2.0
Poly,411,UOT_KR,0.46781629318394025,0.40509259259259256,0.5616319444444444,0.0,0.0,0.0,432,18.0
Poly,411,RAW_UOT_PLAN,0.12173737550575785,0.10648148148148147,0.144551917989418,0.0,0.0,0.0,432,18.0
Poly,411,CONDITIONAL_UOT,0.4591357376283847,0.39745370370370364,0.5517113095238094,0.0,0.0,0.0,433,18.041666666666668
Poly,411,SUPPORT_PLUS_K,0.46781629318394025,0.40509259259259256,0.5616319444444444,0.0,0.0,0.0,432,18.0
Poly,411,HUNGARIAN_1TO1,0.43760683760683755,0.4469246031746031,0.43125826719576715,0.0,0.0,0.0,289,12.041666666666666
Poly,411,THRESHOLD_MM,0.12106870727253764,0.07316468253968254,0.35809358465608465,0.0,0.0,0.0,754,31.416666666666668
Poly,411,DUAL_SOFTMAX,0.262376628001628,1.0,0.15149636243386244,0.0,0.0,0.0,48,2.0
Poly,412,UOT_KR,0.4695370472750504,0.40046296296296297,0.5728422619047618,0.0,0.0,0.0,423,17.625
Poly,412,RAW_UOT_PLAN,0.1157716083509427,0.09953703703703705,0.1400214947089947,0.0,0.0,0.0,414,17.25
