bridge,seed,k,epsilon,lambda,method,precision,recall,macro_edge_f1,micro_edge_f1,n_pred_edges,n_templates,tp_total,fp_total,fn_total,solver_iterations,solver_converged,solver_final_residual,mass_retained_fraction,cost_matrix_sha256,plan_sha256,solver_run_id,support_violations
Celer,203,2,0.05,0.5,SUPPORT_PLUS_K_D4,0.5,0.3333333333333333,0.39999999999999997,0.4,192,48,96,96,192,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,3,0.05,0.5,AMOUNT_FREE_COST_D4,0.4444444444444445,0.6666666666666666,0.5333333333333333,0.5333333333333333,432,48,192,240,96,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,3,0.05,0.5,CONDITIONAL_UOT_D4,0.41435185185185186,0.6215277777777777,0.49722222222222223,0.49722222222222223,432,48,179,253,109,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,3,0.05,0.5,RAW_UOT_PLAN_D4,0.11111111111111112,0.16666666666666666,0.13333333333333333,0.13333333333333333,432,48,48,384,240,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,3,0.05,0.5,SUPPORT_PLUS_K_D4,0.4444444444444445,0.6666666666666666,0.5333333333333333,0.5333333333333333,432,48,192,240,96,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,5,0.05,0.5,AMOUNT_FREE_COST_D4,0.19999999999999998,0.8333333333333334,0.3225806451612903,0.3225806451612903,1200,48,240,960,48,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,5,0.05,0.5,CONDITIONAL_UOT_D4,0.1975,0.8229166666666666,0.3185483870967742,0.3185483870967742,1200,48,237,963,51,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,5,0.05,0.5,RAW_UOT_PLAN_D4,0.16,0.6666666666666666,0.25806451612903225,0.25806451612903225,1200,48,192,1008,96,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,5,0.05,0.5,SUPPORT_PLUS_K_D4,0.19999999999999998,0.8333333333333334,0.3225806451612903,0.3225806451612903,1200,48,240,960,48,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
Celer,203,7,0.05,0.5,AMOUNT_FREE_COST_D4,0.16544669669669668,1.0,0.28391472868217055,0.2838836865450961,1741,48,288,1453,0,131,True,9.353701809358153e-12,0.7083741201814869,b5e09afce5ff010b214a3b6023616c090371bb8d153aa755269c993c41c471bf,77932d3162cb3424f8556de5965dd655f3461f0ac23ac92b888a5059a71c4be6,unit__Celer__s203__b5e09afce5ff,0
