bridge,seed,template_id,truth_side,representation_side
Celer,415,eth_flow_bc0dae0eaa9045__r7fam08__inst00,1,1
Celer,415,eth_flow_ccaf1ae9f76040__r7fam11__inst00,1,1
Celer,415,eth_flow_d0b401427d8b41__r7fam18__inst00,1,1
Celer,415,eth_flow_d72f67727efa49__r7fam12__inst00,1,1
Celer,415,eth_flow_db6bf960b0b342__r7fam00__inst01,1,1
Celer,415,eth_flow_ddf60dca90a64d__r7fam07__inst00,1,1
Celer,415,eth_flow_ec309ca2e8a345__r7fam13__inst01,1,1
Celer,415,eth_flow_efa91de4dfd74b__r7fam16__inst01,1,1
Celer,415,eth_flow_f1201dbd944840__r7fam01__inst00,1,1
Celer,415,eth_flow_f22fae0c8eab42__r7fam22__inst00,1,1
Celer,415,eth_flow_fd8301a1b6d243__r7fam23__inst01,1,1
Celer,416,eth_flow_0567341442c94c__r7fam11__inst01,1,1
Celer,416,eth_flow_05e1797783664c__r7fam15__inst00,1,1
Celer,416,eth_flow_0d8c751dfc1341__r7fam10__inst01,1,1
Celer,416,eth_flow_0e650cd9209344__r7fam04__inst00,1,1
Celer,416,eth_flow_0e8754e4e2664f__r7fam01__inst01,1,1
Celer,416,eth_flow_0fd48a4bf50b44__r7fam05__inst00,1,1
Celer,416,eth_flow_1080053d73934f__r7fam02__inst00,1,1
Celer,416,eth_flow_164fbed2c74e4b__r7fam07__inst01,1,1
Celer,416,eth_flow_1d4ae101aa1c49__r7fam17__inst00,1,1
Celer,416,eth_flow_1ecf467d72d24e__r7fam18__inst01,1,1
Celer,416,eth_flow_2b6527d929f64a__r7fam23__inst01,1,1
Celer,416,eth_flow_2f96ecf6fb8f4e__r7fam16__inst00,1,1
Celer,416,eth_flow_36d35cf317b844__r7fam01__inst00,1,1
Celer,416,eth_flow_3aec5cb32dd640__r7fam12__inst01,1,1
Celer,416,eth_flow_3c4f35ac164f4f__r7fam08__inst01,1,1
Celer,416,eth_flow_3e2af43297f343__r7fam02__inst01,1,1
Celer,416,eth_flow_4489660c4f604e__r7fam13__inst01,1,1
Celer,416,eth_flow_4556e983917d46__r7fam11__inst00,1,1
Celer,416,eth_flow_477b992b3bd14f__r7fam23__inst00,1,1
Celer,416,eth_flow_52488b584aff49__r7fam14__inst01,1,1
Celer,416,eth_flow_56012c32041a4d__r7fam21__inst01,1,1
Celer,416,eth_flow_584c266130544e__r7fam07__inst00,1,1
Celer,416,eth_flow_5ca10ffddfed4b__r7fam03__inst00,1,1
Celer,416,eth_flow_6a017b95e8694f__r7fam09__inst01,1,1
Celer,416,eth_flow_6e14a57631304e__r7fam10__inst00,1,1
Celer,416,eth_flow_75a99b6e7d3840__r7fam22__inst01,1,1
Celer,416,eth_flow_793601b03d214e__r7fam06__inst00,1,1
Celer,416,eth_flow_7a3733456d3944__r7fam16__inst01,1,1
Celer,416,eth_flow_7a593f14f3454d__r7fam20__inst01,1,1
Celer,416,eth_flow_7fa0c3bf29fb49__r7fam03__inst01,1,1
Celer,416,eth_flow_8533725a2ff148__r7fam19__inst00,1,1
Celer,416,eth_flow_85ac8286865943__r7fam05__inst01,1,1
Celer,416,eth_flow_8b94e39738734b__r7fam18__inst00,1,1
Celer,416,eth_flow_8be640407a844a__r7fam13__inst00,1,1
Celer,416,eth_flow_8c4362f60ae948__r7fam06__inst01,1,1
Celer,416,eth_flow_989363af0d734b__r7fam17__inst01,1,1
Celer,416,eth_flow_b152641714e543__r7fam15__inst01,1,1
Celer,416,eth_flow_b2a149686b914d__r7fam00__inst00,1,1
Celer,416,eth_flow_b6f4438707024a__r7fam19__inst01,1,1
Celer,416,eth_flow_bf2ac9054f3041__r7fam14__inst00,1,1
Celer,416,eth_flow_c3fb2f7ec4d642__r7fam00__inst01,1,1
Celer,416,eth_flow_ccf7844c3dfb4d__r7fam20__inst00,1,1
Celer,416,eth_flow_cdcbe1b021f746__r7fam04__inst01,1,1
Celer,416,eth_flow_dc4a3844d0b34f__r7fam22__inst00,1,1
Celer,416,eth_flow_e704c48730194a__r7fam12__inst00,1,1
Celer,416,eth_flow_eefc6588da1246__r7fam09__inst00,1,1
Celer,416,eth_flow_f1f4055eee8648__r7fam21__inst00,1,1
Celer,416,eth_flow_fd4a2c03887348__r7fam08__inst00,1,1
Celer,417,eth_flow_0376413a558843__r7fam03__inst01,1,1
Celer,417,eth_flow_054c745cdc2d44__r7fam16__inst00,1,1
Celer,417,eth_flow_13e15c66910543__r7fam12__inst00,1,1
Celer,417,eth_flow_149326182a314d__r7fam20__inst01,1,1
Celer,417,eth_flow_1706ad15a8884f__r7fam07__inst00,1,1
Celer,417,eth_flow_1839ab78796b4a__r7fam09__inst01,1,1
Celer,417,eth_flow_1e116a36fb1b40__r7fam02__inst00,1,1
Celer,417,eth_flow_1f9dedfc829d4f__r7fam04__inst00,1,1
Celer,417,eth_flow_209b7fe31cda47__r7fam11__inst00,1,1
Celer,417,eth_flow_2d548288144f46__r7fam00__inst00,1,1
