bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Multi,202,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.765315682616939,0.765315682616939,1.530631365233878,0.765315682616939,0.765315682616939,0.234684317383061,0.23468431738306103,0.14520833333333336,0.5520833333333333,0.22492997593804046,33,True,2026-09-17T03:14:49Z__pid29540
Multi,202,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4889709372914021,0.488970937291402,0.9779418745828041,0.4889709372914021,0.488970937291402,0.5110290627085978,0.5110290627085979,0.19541666666666666,0.798611111111111,0.3129200268817204,70,True,2026-09-17T03:14:49Z__pid29540
Multi,202,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4889709372914021,0.488970937291402,0.9779418745828041,0.4889709372914021,0.488970937291402,0.5110290627085978,0.5110290627085979,0.14479166666666668,0.5659722222222222,0.22734557109557108,70,True,2026-09-17T03:14:49Z__pid29540
Multi,202,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.29864319662325245,0.29864319662325245,0.5972863932465049,0.29864319662325245,0.29864319662325245,0.7013568033767478,0.7013568033767479,0.19541666666666666,0.798611111111111,0.3129200268817204,131,True,2026-09-17T03:14:47Z__pid29540
Multi,202,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.29864319662325245,0.29864319662325245,0.5972863932465049,0.29864319662325245,0.29864319662325245,0.7013568033767478,0.7013568033767479,0.14440972222222223,0.5694444444444443,0.22746992777234712,131,True,2026-09-17T03:14:47Z__pid29540
Multi,202,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.16692705961518944,0.1669270596151888,0.3338541192303782,0.16692705961518944,0.1669270596151888,0.8330729403848106,0.8330729403848107,0.19166666666666665,0.7881944444444443,0.30762768817204295,249,True,2026-09-17T03:14:49Z__pid29540
Multi,202,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.16692705961518944,0.1669270596151888,0.3338541192303782,0.16692705961518944,0.1669270596151888,0.8330729403848106,0.8330729403848107,0.14440972222222223,0.5694444444444443,0.22746992777234712,249,True,2026-09-17T03:14:49Z__pid29540
Multi,202,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08853952941947055,0.08853952941947027,0.17707905883894082,0.08853952941947055,0.08853952941947027,0.9114604705805295,0.9114604705805296,0.19583333333333333,0.8055555555555555,0.3143481182795698,478,True,2026-09-17T03:14:50Z__pid29540
Multi,202,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08853952941947055,0.08853952941947027,0.17707905883894082,0.08853952941947055,0.08853952941947027,0.9114604705805295,0.9114604705805296,0.14440972222222223,0.5694444444444443,0.22746992777234712,478,True,2026-09-17T03:14:50Z__pid29540
Multi,203,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7902099608760835,0.7902099608760838,1.5804199217521673,0.7902099608760835,0.7902099608760838,0.2097900391239164,0.2097900391239164,0.19333333333333336,0.795138888888889,0.3103158602150537,33,True,2026-09-17T03:14:52Z__pid29540
